

KMO_TEST:

KMO_METRIC: 0.674999301157518
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 47775, df = 11325, p-value < 2.2e-16
ready         0.05  0.23 -0.01  0.02  0.01 0.0558 0.94 1.1
today         0.07  0.21  0.09  0.21  0.04 0.1057 0.89 2.6
friend       -0.01  0.19  0.33 -0.04  0.07 0.1500 0.85 1.7
excite       -0.02  0.15  0.21 -0.10  0.08 0.0833 0.92 2.6
life         -0.03  0.01  0.20  0.02  0.08 0.0484 0.95 1.4
start         0.11  0.25  0.18  0.19  0.10 0.1575 0.84 3.6
laugh        -0.02  0.00  0.18 -0.10  0.13 0.0607 0.94 2.5
write         0.18 -0.08  0.04  0.16 -0.01 0.0680 0.93 2.5
email         0.03 -0.05  0.10  0.08 -0.04 0.0218 0.98 3.3
lab          -0.04  0.20  0.11  0.16 -0.13 0.0955 0.90 3.4
sad          -0.03  0.01  0.10  0.00  0.08 0.0182 0.98 2.1
day           0.08  0.33  0.13  0.21  0.10 0.1886 0.81 2.4
together      0.01  0.08  0.24 -0.04 -0.09 0.0726 0.93 1.6
group         0.06 -0.02  0.19  0.03 -0.01 0.0399 0.96 1.3
focus         0.14  0.01 -0.05  0.21  0.07 0.0721 0.93 2.2
meet         -0.03  0.11  0.32  0.10 -0.17 0.1534 0.85 2.1
lunch        -0.11  0.36  0.04 -0.05  0.05 0.1510 0.85 1.3
live         -0.05  0.07  0.20 -0.10  0.12 0.0753 0.92 2.7
show          0.02  0.02  0.08  0.02  0.31 0.1007 0.90 1.2
sleep         0.04  0.19 -0.19  0.24  0.09 0.1398 0.86 3.3
anxious       0.16  0.09  0.01  0.03 -0.09 0.0454 0.95 2.4
people        0.01  0.06  0.26  0.10  0.06 0.0873 0.91 1.5
decide       -0.06  0.21  0.06  0.08  0.18 0.0902 0.91 2.6
issue         0.03 -0.05  0.14  0.21 -0.02 0.0674 0.93 1.9
mind         -0.03 -0.01 -0.04  0.33  0.09 0.1213 0.88 1.2
plan         -0.04  0.17  0.24  0.10 -0.05 0.0986 0.90 2.3
schedule      0.06  0.13  0.01  0.18 -0.09 0.0612 0.94 2.7
week          0.16  0.17  0.14  0.11 -0.02 0.0895 0.91 3.7
close         0.05  0.08  0.19 -0.01  0.07 0.0492 0.95 1.8
expect        0.02  0.10  0.08  0.07 -0.03 0.0234 0.98 3.0
annoy         0.03 -0.06  0.17  0.10 -0.05 0.0433 0.96 2.2
relieve       0.06  0.10  0.03  0.11  0.06 0.0293 0.97 3.3
early         0.09  0.27 -0.01  0.06  0.08 0.0937 0.91 1.5
person        0.04 -0.04  0.21  0.03 -0.01 0.0491 0.95 1.2
relax        -0.03  0.25 -0.15  0.01  0.35 0.2137 0.79 2.2
end           0.15  0.09  0.13  0.05  0.05 0.0530 0.95 3.3
great         0.04  0.06  0.18  0.04  0.06 0.0434 0.96 1.7
professor     0.60 -0.04  0.01 -0.07  0.01 0.3639 0.64 1.0
understand    0.24 -0.07  0.07  0.10 -0.04 0.0767 0.92 1.8
alone        -0.11  0.13 -0.15  0.33  0.11 0.1732 0.83 2.3
frustrate     0.04 -0.06  0.11  0.21 -0.12 0.0778 0.92 2.5
office        0.01 -0.01  0.20  0.11 -0.12 0.0668 0.93 2.2
homework      0.08  0.10 -0.10  0.15  0.08 0.0566 0.94 3.9
happy        -0.09  0.19  0.23 -0.02  0.18 0.1329 0.87 3.2
breakfast    -0.11  0.40 -0.07 -0.06  0.03 0.1834 0.82 1.3
discuss       0.06 -0.04  0.28  0.06 -0.10 0.0979 0.90 1.5
stress        0.16  0.16 -0.03  0.12 -0.09 0.0733 0.93 3.6
topic         0.21 -0.04  0.17  0.04  0.03 0.0781 0.92 2.1
worry         0.11  0.09  0.01  0.12 -0.05 0.0390 0.96 3.3
question      0.33 -0.05  0.12  0.12 -0.10 0.1496 0.85 1.8
learn         0.23 -0.06  0.05  0.03 -0.01 0.0611 0.94 1.3
outside       0.06  0.13  0.10 -0.04  0.05 0.0334 0.97 2.9
hour          0.14  0.18  0.06  0.06  0.02 0.0600 0.94 2.4
left          0.00  0.18  0.13  0.04  0.00 0.0511 0.95 1.9
assignment    0.01  0.13 -0.09  0.41 -0.03 0.1910 0.81 1.3
lecture       0.47  0.00 -0.04 -0.08  0.09 0.2353 0.76 1.1
bed          -0.01  0.14 -0.06 -0.04  0.29 0.1069 0.89 1.6
class         0.60  0.13 -0.08 -0.13  0.07 0.4025 0.60 1.3
year          0.03  0.00  0.27  0.00  0.04 0.0771 0.92 1.1
nervous       0.23  0.10  0.02  0.06 -0.13 0.0833 0.92 2.1
food         -0.13  0.42 -0.01 -0.14  0.01 0.2099 0.79 1.4
read          0.11 -0.03  0.10  0.02  0.09 0.0315 0.97 3.3
leave         0.00  0.14  0.13 -0.01  0.02 0.0367 0.96 2.1
tire          0.06  0.17 -0.22  0.08  0.13 0.1050 0.90 3.0
stay          0.11  0.08  0.06  0.04  0.11 0.0366 0.96 3.9
stop          0.03  0.06  0.17  0.01  0.06 0.0381 0.96 1.6
apartment    -0.07  0.12  0.16 -0.09  0.11 0.0623 0.94 3.9
enjoy         0.02  0.13  0.10 -0.08  0.24 0.0889 0.91 2.2
paper         0.06 -0.06  0.03  0.19 -0.02 0.0459 0.95 1.4
due           0.07  0.09 -0.03  0.31  0.03 0.1132 0.89 1.3
eat          -0.13  0.52 -0.05 -0.17  0.05 0.3210 0.68 1.4
listen        0.19 -0.06  0.05 -0.05  0.14 0.0622 0.94 2.4
mood          0.08  0.12  0.06  0.00  0.05 0.0263 0.97 2.5
turn          0.04  0.05  0.09  0.07  0.10 0.0273 0.97 3.9
grade         0.30  0.12 -0.10  0.16 -0.17 0.1694 0.83 2.9
watch        -0.10 -0.02 -0.09 -0.02  0.55 0.3200 0.68 1.1
movie        -0.08  0.00  0.02 -0.03  0.20 0.0478 0.95 1.4
nice          0.00  0.18  0.23 -0.07  0.04 0.0938 0.91 2.2
text          0.05  0.07  0.14 -0.07  0.12 0.0464 0.95 3.4
morning       0.04  0.35 -0.01  0.08  0.05 0.1353 0.86 1.2
prepare       0.18  0.24 -0.01  0.05 -0.07 0.0976 0.90 2.1
experience    0.01  0.01  0.18  0.05  0.00 0.0338 0.97 1.2
surprise      0.06  0.01  0.17 -0.06  0.03 0.0371 0.96 1.6
emotion       0.01 -0.02 -0.02  0.20  0.17 0.0727 0.93 2.0
note          0.37  0.02 -0.05 -0.03  0.02 0.1392 0.86 1.1
laptop       -0.03  0.02  0.03  0.06  0.09 0.0132 0.99 2.6
wear          0.00  0.08 -0.04  0.06  0.11 0.0242 0.98 2.7
hard          0.20  0.06  0.01  0.13  0.07 0.0675 0.93 2.2
hungry       -0.12  0.42 -0.14 -0.01  0.01 0.2132 0.79 1.4
train        -0.07  0.05  0.16  0.04 -0.07 0.0387 0.96 2.2
roommate     -0.09  0.09  0.14 -0.06  0.19 0.0778 0.92 3.1
student       0.15 -0.02  0.16  0.13 -0.08 0.0725 0.93 3.4
clean        -0.08  0.07  0.04 -0.01  0.14 0.0338 0.97 2.2
continue      0.03 -0.02  0.07  0.07  0.18 0.0427 0.96 1.7
begin         0.19  0.07  0.10  0.01  0.05 0.0546 0.95 2.0
hope          0.09  0.07  0.06  0.06 -0.10 0.0302 0.97 4.3
library      -0.08  0.10 -0.08  0.41 -0.05 0.1913 0.81 1.3
weekend       0.04  0.19  0.10  0.01  0.04 0.0489 0.95 1.8
school        0.03  0.07  0.11 -0.04  0.10 0.0314 0.97 3.3
music         0.03  0.03  0.02  0.05  0.21 0.0497 0.95 1.2
problem       0.16 -0.03  0.00  0.21 -0.05 0.0732 0.93 2.0
walk          0.01  0.26  0.11 -0.10 -0.06 0.0905 0.91 1.8
semester      0.20  0.12  0.15  0.00 -0.04 0.0798 0.92 2.6
shop         -0.07  0.04  0.04 -0.01  0.02 0.0088 0.99 2.8
material      0.47  0.06 -0.10 -0.01 -0.06 0.2428 0.76 1.2
hand          0.07  0.02  0.03  0.13  0.01 0.0230 0.98 1.8
project      -0.05 -0.09  0.09  0.36 -0.01 0.1483 0.85 1.3
calm          0.00  0.10 -0.10  0.12  0.15 0.0552 0.94 3.5
exam          0.37  0.18 -0.10  0.00 -0.14 0.1987 0.80 2.0
complete     -0.03  0.05  0.05  0.47  0.10 0.2321 0.77 1.1
break.        0.02  0.19  0.05 -0.02  0.10 0.0491 0.95 1.8
test          0.29  0.07 -0.01  0.08 -0.09 0.1062 0.89 1.5
neutral      -0.01 -0.05 -0.13  0.07 -0.02 0.0251 0.97 2.0
final         0.17  0.14 -0.01  0.09 -0.04 0.0566 0.94 2.7
quiz          0.30  0.11 -0.09 -0.02 -0.08 0.1187 0.88 1.7

                       RC2  RC1  RC3  RC4  RC5
SS loadings           3.33 3.19 2.84 2.65 2.35
Proportion Var        0.02 0.02 0.02 0.02 0.02
Cumulative Var        0.02 0.04 0.06 0.08 0.10
Proportion Explained  0.23 0.22 0.20 0.18 0.16
Cumulative Proportion 0.23 0.45 0.65 0.84 1.00

Mean item complexity =  2.1
Test of the hypothesis that 5 components are sufficient.

The root mean square of the residuals (RMSR) is  0.03 
 with the empirical chi square  70106.58  with prob <  0 

Fit based upon off diagonal values = 0.48
